price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
495000,planta_1,exterior,3,118.0,yes,yes,chopera,arganzuela
485000,planta_2,exterior,2,82.0,yes,yes,palos_de_moguer,arganzuela
315000,planta_2,exterior,2,72.0,no,no,legazpi,arganzuela
585000,planta_4,exterior,2,174.0,yes,yes,palos_de_moguer,arganzuela
255000,bajo,exterior,3,75.0,no,no,acacias,arganzuela
299000,planta_1,exterior,1,69.0,yes,no,chopera,arganzuela
265000,planta_3,exterior,2,54.0,yes,no,delicias,arganzuela
290000,planta_3,interior,4,69.0,yes,no,chopera,arganzuela
660220,planta_2,exterior,3,129.0,yes,yes,imperial,arganzuela
525000,planta_4,exterior,4,111.0,yes,no,chopera,arganzuela
429900,bajo,interior,3,139.0,no,no,acacias,arganzuela
385000,planta_6,exterior,4,100.0,yes,no,chopera,arganzuela
299000,planta_2,exterior,3,85.0,yes,no,delicias,arganzuela
430000,planta_3,exterior,2,92.0,yes,no,palos_de_moguer,arganzuela
350000,planta_2,exterior,2,91.0,yes,no,imperial,arganzuela
479000,planta_1,exterior,4,121.0,yes,no,imperial,arganzuela
420000,planta_4,exterior,2,105.0,yes,no,palos_de_moguer,arganzuela
239000,planta_3,interior,2,54.0,yes,no,palos_de_moguer,arganzuela
585000,planta_4,exterior,2,110.0,yes,yes,palos_de_moguer,arganzuela
410000,planta_5,exterior,3,79.0,yes,no,acacias,arganzuela
293000,planta_2,exterior,2,77.0,yes,no,palos_de_moguer,arganzuela
190000,planta_3,exterior,2,48.0,no,no,imperial,arganzuela
299000,planta_5,interior,2,60.0,yes,no,palos_de_moguer,arganzuela
360000,planta_5,exterior,1,62.0,yes,yes,imperial,arganzuela
335000,planta_5,exterior,1,54.0,yes,yes,imperial,arganzuela
359900,planta_8,exterior,1,62.0,yes,yes,legazpi,arganzuela
235000,planta_2,interior,1,59.0,yes,no,palos_de_moguer,arganzuela
315000,planta_2,exterior,3,72.0,yes,no,delicias,arganzuela
530000,planta_6,exterior,2,133.0,yes,no,palos_de_moguer,arganzuela
310000,planta_2,exterior,3,72.0,yes,no,delicias,arganzuela
387900,planta_2,exterior,1,64.0,yes,yes,legazpi,arganzuela
729000,planta_3,exterior,5,175.0,yes,no,imperial,arganzuela
243000,planta_3,exterior,3,55.0,no,no,legazpi,arganzuela
460000,planta_4,exterior,4,125.0,yes,no,delicias,arganzuela
458000,planta_1,exterior,2,71.0,yes,yes,imperial,arganzuela
475000,planta_1,exterior,2,95.0,yes,yes,legazpi,arganzuela
357000,planta_1,exterior,1,86.0,yes,yes,legazpi,arganzuela
550000,planta_2,interior,3,130.0,yes,no,imperial,arganzuela
475000,planta_4,exterior,2,105.0,yes,yes,legazpi,arganzuela
293000,planta_2,interior,3,74.0,yes,no,palos_de_moguer,arganzuela
282900,planta_2,exterior,2,47.0,yes,no,acacias,arganzuela
235000,planta_3,interior,1,36.0,yes,no,delicias,arganzuela
385000,planta_4,interior,2,98.0,yes,no,legazpi,arganzuela
390000,planta_1,exterior,3,95.0,yes,no,chopera,arganzuela
575000,planta_2,interior,3,143.0,yes,yes,acacias,arganzuela
780000,planta_8,exterior,4,160.0,yes,no,imperial,arganzuela
210000,planta_3,exterior,2,53.0,no,no,legazpi,arganzuela
569000,bajo,interior,3,115.0,yes,yes,legazpi,arganzuela
370000,planta_1,exterior,3,103.0,yes,no,palos_de_moguer,arganzuela
375000,planta_1,interior,3,99.0,yes,no,palos_de_moguer,arganzuela
399000,planta_1,exterior,3,86.0,no,no,delicias,arganzuela
1150000,planta_18,exterior,4,209.0,yes,yes,legazpi,arganzuela
275000,bajo,exterior,2,94.0,yes,no,imperial,arganzuela
410000,planta_1,exterior,3,117.0,yes,no,imperial,arganzuela
320000,planta_1,exterior,3,82.0,yes,no,chopera,arganzuela
470000,planta_1,exterior,3,121.0,yes,no,acacias,arganzuela
375000,planta_1,interior,3,82.0,yes,no,chopera,arganzuela
385000,planta_2,interior,3,93.0,yes,no,acacias,arganzuela
249000,planta_3,interior,2,54.0,yes,no,palos_de_moguer,arganzuela
410000,planta_5,interior,2,69.0,yes,yes,delicias,arganzuela
530000,planta_1,exterior,4,104.0,yes,no,palos_de_moguer,arganzuela
510000,planta_1,exterior,3,108.0,yes,no,palos_de_moguer,arganzuela
395000,planta_6,exterior,1,76.0,yes,no,chopera,arganzuela
315000,planta_6,exterior,3,78.0,yes,no,chopera,arganzuela
370000,bajo,exterior,2,92.0,yes,no,legazpi,arganzuela
139000,bajo,interior,1,32.0,no,no,delicias,arganzuela
175000,sotano,interior,1,45.0,yes,no,delicias,arganzuela
397000,planta_7,interior,3,77.0,yes,no,acacias,arganzuela
239000,planta_2,interior,2,57.0,no,no,imperial,arganzuela
350000,planta_5,exterior,1,63.0,no,no,delicias,arganzuela
155000,planta_1,interior,1,53.0,yes,no,chopera,arganzuela
309000,planta_1,exterior,3,80.0,yes,no,delicias,arganzuela
390000,planta_7,exterior,2,85.0,yes,no,palos_de_moguer,arganzuela
190000,planta_1,exterior,3,53.0,yes,no,chopera,arganzuela
340000,planta_5,interior,2,57.0,yes,no,acacias,arganzuela
165000,bajo,interior,1,30.0,yes,no,palos_de_moguer,arganzuela
455000,planta_12,exterior,3,105.0,yes,no,acacias,arganzuela
